Episode 0, Steps: 18, Reward: -9962, Max Reward: -9962, Epsilon: 1.0000
Episode 10, Steps: 266, Reward: -8782, Max Reward: -8782, Epsilon: 0.0123
Episode 20, Steps: 414, Reward: -8226, Max Reward: -8226, Epsilon: 0.0100
Episode 30, Steps: 217, Reward: -8793, Max Reward: -8226, Epsilon: 0.0100
Episode 40, Steps: 426, Reward: -8910, Max Reward: -7718, Epsilon: 0.0100
Episode 50, Steps: 238, Reward: -9284, Max Reward: -7718, Epsilon: 0.0100
Episode 60, Steps: 47, Reward: -9901, Max Reward: -7718, Epsilon: 0.0100
Episode 70, Steps: 54, Reward: -9832, Max Reward: -7718, Epsilon: 0.0100
Episode 80, Steps: 91, Reward: -9662, Max Reward: -7718, Epsilon: 0.0100
Episode 90, Steps: 40, Reward: -9904, Max Reward: -7718, Epsilon: 0.0100
Episode 100, Steps: 366, Reward: -8208, Max Reward: -7718, Epsilon: 0.0100
Episode 110, Steps: 258, Reward: -8671, Max Reward: -7668, Epsilon: 0.0100
Episode 120, Steps: 74, Reward: -9704, Max Reward: -7668, Epsilon: 0.0100
Episode 130, Steps: 75, Reward: -9852, Max Reward: -7668, Epsilon: 0.0100
Episode 140, Steps: 54, Reward: -9834, Max Reward: -7668, Epsilon: 0.0100
Episode 150, Steps: 36, Reward: -9753, Max Reward: -7668, Epsilon: 0.0100
Episode 160, Steps: 77, Reward: -9832, Max Reward: -7668, Epsilon: 0.0100
Episode 170, Steps: 226, Reward: -9400, Max Reward: -7668, Epsilon: 0.0100
Episode 180, Steps: 93, Reward: -9496, Max Reward: -7668, Epsilon: 0.0100
Episode 190, Steps: 165, Reward: -9276, Max Reward: -7668, Epsilon: 0.0100
Episode 200, Steps: 193, Reward: -9148, Max Reward: -7668, Epsilon: 0.0100
Episode 210, Steps: 49, Reward: -9630, Max Reward: -7668, Epsilon: 0.0100
Episode 220, Steps: 51, Reward: -9648, Max Reward: -7668, Epsilon: 0.0100
Episode 230, Steps: 45, Reward: -9902, Max Reward: -7668, Epsilon: 0.0100
Episode 240, Steps: 250, Reward: -8568, Max Reward: -7668, Epsilon: 0.0100
Episode 250, Steps: 18, Reward: -9924, Max Reward: -7668, Epsilon: 0.0100
Episode 260, Steps: 52, Reward: -9926, Max Reward: -7668, Epsilon: 0.0100
Episode 270, Steps: 101, Reward: -9816, Max Reward: -7668, Epsilon: 0.0100
Episode 280, Steps: 30, Reward: -9875, Max Reward: -7668, Epsilon: 0.0100
Episode 290, Steps: 518, Reward: -7275, Max Reward: -7275, Epsilon: 0.0100
Episode 300, Steps: 218, Reward: -9069, Max Reward: -7275, Epsilon: 0.0100
Episode 310, Steps: 63, Reward: -9580, Max Reward: -7275, Epsilon: 0.0100
Episode 320, Steps: 144, Reward: -9470, Max Reward: -7275, Epsilon: 0.0100
Episode 330, Steps: 29, Reward: -9934, Max Reward: -7275, Epsilon: 0.0100
Episode 340, Steps: 147, Reward: -9217, Max Reward: -7275, Epsilon: 0.0100
Episode 350, Steps: 101, Reward: -9532, Max Reward: -7275, Epsilon: 0.0100
Episode 360, Steps: 112, Reward: -9492, Max Reward: -7275, Epsilon: 0.0100
Episode 370, Steps: 98, Reward: -9304, Max Reward: -7275, Epsilon: 0.0100
Episode 380, Steps: 147, Reward: -9727, Max Reward: -7275, Epsilon: 0.0100
Episode 390, Steps: 112, Reward: -9401, Max Reward: -7275, Epsilon: 0.0100
Episode 400, Steps: 52, Reward: -9777, Max Reward: -7275, Epsilon: 0.0100
Episode 410, Steps: 434, Reward: -8254, Max Reward: -7275, Epsilon: 0.0100
Episode 420, Steps: 61, Reward: -9917, Max Reward: -7275, Epsilon: 0.0100
Episode 430, Steps: 256, Reward: -8770, Max Reward: -7275, Epsilon: 0.0100
Episode 440, Steps: 106, Reward: -9162, Max Reward: -6818, Epsilon: 0.0100
Episode 450, Steps: 126, Reward: -9474, Max Reward: -6818, Epsilon: 0.0100
Episode 460, Steps: 504, Reward: -8352, Max Reward: -6818, Epsilon: 0.0100
Episode 470, Steps: 454, Reward: -7892, Max Reward: -6818, Epsilon: 0.0100
Episode 480, Steps: 202, Reward: -8766, Max Reward: -6818, Epsilon: 0.0100
Episode 490, Steps: 210, Reward: -9130, Max Reward: -6818, Epsilon: 0.0100
Episode 500, Steps: 145, Reward: -9164, Max Reward: -6818, Epsilon: 0.0100
Episode 510, Steps: 169, Reward: -9090, Max Reward: -6818, Epsilon: 0.0100
Episode 520, Steps: 56, Reward: -9616, Max Reward: -6818, Epsilon: 0.0100
Episode 530, Steps: 106, Reward: -9187, Max Reward: -6818, Epsilon: 0.0100
Episode 540, Steps: 319, Reward: -8202, Max Reward: -6818, Epsilon: 0.0100
Episode 550, Steps: 30, Reward: -9922, Max Reward: -6818, Epsilon: 0.0100
Episode 560, Steps: 211, Reward: -8728, Max Reward: -6818, Epsilon: 0.0100
Episode 570, Steps: 111, Reward: -9711, Max Reward: -6818, Epsilon: 0.0100
Episode 580, Steps: 144, Reward: -9284, Max Reward: -6818, Epsilon: 0.0100
Episode 590, Steps: 38, Reward: -9864, Max Reward: -6818, Epsilon: 0.0100
Episode 600, Steps: 142, Reward: -9174, Max Reward: 10000, Epsilon: 0.0100
Episode 610, Steps: 168, Reward: -9120, Max Reward: 10000, Epsilon: 0.0100
Episode 620, Steps: 100, Reward: -9622, Max Reward: 10000, Epsilon: 0.0100
Episode 630, Steps: 43, Reward: -9731, Max Reward: 10000, Epsilon: 0.0100
Episode 640, Steps: 229, Reward: -9102, Max Reward: 10000, Epsilon: 0.0100
Episode 650, Steps: 126, Reward: -9179, Max Reward: 10000, Epsilon: 0.0100
Episode 660, Steps: 114, Reward: -9261, Max Reward: 10000, Epsilon: 0.0100
Episode 670, Steps: 16, Reward: -9936, Max Reward: 10000, Epsilon: 0.0100
Episode 680, Steps: 121, Reward: -9629, Max Reward: 10000, Epsilon: 0.0100
Episode 690, Steps: 53, Reward: -9868, Max Reward: 10000, Epsilon: 0.0100
Episode 700, Steps: 23, Reward: -9923, Max Reward: 10000, Epsilon: 0.0100
Episode 710, Steps: 264, Reward: -9194, Max Reward: 10000, Epsilon: 0.0100
Episode 720, Steps: 178, Reward: -9208, Max Reward: 10000, Epsilon: 0.0100
Episode 730, Steps: 107, Reward: -9356, Max Reward: 10000, Epsilon: 0.0100
Episode 740, Steps: 49, Reward: -9644, Max Reward: 10000, Epsilon: 0.0100
Episode 750, Steps: 10, Reward: -9977, Max Reward: 10000, Epsilon: 0.0100
Episode 760, Steps: 400, Reward: -8238, Max Reward: 10000, Epsilon: 0.0100
Episode 770, Steps: 52, Reward: -9912, Max Reward: 10000, Epsilon: 0.0100
Episode 780, Steps: 304, Reward: -8928, Max Reward: 10000, Epsilon: 0.0100
Episode 790, Steps: 148, Reward: -9174, Max Reward: 10000, Epsilon: 0.0100
Episode 800, Steps: 16, Reward: -9901, Max Reward: 10000, Epsilon: 0.0100
Episode 810, Steps: 11, Reward: -9985, Max Reward: 10000, Epsilon: 0.0100
Episode 820, Steps: 12, Reward: -9987, Max Reward: 10000, Epsilon: 0.0100
Episode 830, Steps: 257, Reward: -9099, Max Reward: 10000, Epsilon: 0.0100
Episode 840, Steps: 12, Reward: -9987, Max Reward: 10000, Epsilon: 0.0100
Episode 850, Steps: 121, Reward: -9155, Max Reward: 10000, Epsilon: 0.0100
Episode 860, Steps: 17, Reward: -9965, Max Reward: 10000, Epsilon: 0.0100
Episode 870, Steps: 11, Reward: -9978, Max Reward: 10000, Epsilon: 0.0100
Episode 880, Steps: 167, Reward: -9136, Max Reward: 10000, Epsilon: 0.0100
Episode 890, Steps: 178, Reward: -9122, Max Reward: 10000, Epsilon: 0.0100
Episode 900, Steps: 75, Reward: -9556, Max Reward: 10000, Epsilon: 0.0100
Episode 910, Steps: 187, Reward: -9163, Max Reward: 10000, Epsilon: 0.0100
Episode 920, Steps: 33, Reward: -9870, Max Reward: 10000, Epsilon: 0.0100
Episode 930, Steps: 373, Reward: -8228, Max Reward: 10000, Epsilon: 0.0100
Episode 940, Steps: 11, Reward: -9978, Max Reward: 10000, Epsilon: 0.0100
Episode 950, Steps: 46, Reward: -9825, Max Reward: 10000, Epsilon: 0.0100
Episode 960, Steps: 128, Reward: -9102, Max Reward: 10000, Epsilon: 0.0100
Episode 970, Steps: 20, Reward: -9952, Max Reward: 10000, Epsilon: 0.0100
Episode 980, Steps: 11, Reward: -9968, Max Reward: 10000, Epsilon: 0.0100
Episode 990, Steps: 29, Reward: -9954, Max Reward: 10000, Epsilon: 0.0100
Episode 1000, Steps: 20, Reward: -9952, Max Reward: 10000, Epsilon: 0.0100
Episode 1010, Steps: 12, Reward: -9940, Max Reward: 10000, Epsilon: 0.0100
Episode 1020, Steps: 96, Reward: -9579, Max Reward: 10000, Epsilon: 0.0100
Episode 1030, Steps: 19, Reward: -9950, Max Reward: 10000, Epsilon: 0.0100
Episode 1040, Steps: 34, Reward: -9778, Max Reward: 10000, Epsilon: 0.0100
Episode 1050, Steps: 95, Reward: -9410, Max Reward: 10000, Epsilon: 0.0100
Episode 1060, Steps: 38, Reward: -9780, Max Reward: 10000, Epsilon: 0.0100
Episode 1070, Steps: 40, Reward: -9893, Max Reward: 10000, Epsilon: 0.0100
Episode 1080, Steps: 37, Reward: -9928, Max Reward: 10000, Epsilon: 0.0100
Episode 1090, Steps: 39, Reward: -9762, Max Reward: 10000, Epsilon: 0.0100
Episode 1100, Steps: 78, Reward: -9528, Max Reward: 10000, Epsilon: 0.0100
Episode 1110, Steps: 165, Reward: -8662, Max Reward: 10000, Epsilon: 0.0100
Episode 1120, Steps: 211, Reward: -9104, Max Reward: 10000, Epsilon: 0.0100
Episode 1130, Steps: 138, Reward: -9263, Max Reward: 10000, Epsilon: 0.0100
Episode 1140, Steps: 20, Reward: -9886, Max Reward: 10000, Epsilon: 0.0100
Episode 1150, Steps: 52, Reward: -9710, Max Reward: 10000, Epsilon: 0.0100
Episode 1160, Steps: 62, Reward: -9518, Max Reward: 10000, Epsilon: 0.0100
Episode 1170, Steps: 28, Reward: -9834, Max Reward: 10000, Epsilon: 0.0100
Episode 1180, Steps: 124, Reward: -9135, Max Reward: 10000, Epsilon: 0.0100
Episode 1190, Steps: 24, Reward: -9920, Max Reward: 10000, Epsilon: 0.0100
Episode 1200, Steps: 63, Reward: -9718, Max Reward: 10000, Epsilon: 0.0100
Episode 1210, Steps: 179, Reward: -8920, Max Reward: 10000, Epsilon: 0.0100
Episode 1220, Steps: 24, Reward: -9887, Max Reward: 10000, Epsilon: 0.0100
Episode 1230, Steps: 20, Reward: -9938, Max Reward: 10000, Epsilon: 0.0100
Episode 1240, Steps: 41, Reward: -9949, Max Reward: 10000, Epsilon: 0.0100
Episode 1250, Steps: 68, Reward: -9694, Max Reward: 10000, Epsilon: 0.0100
Episode 1260, Steps: 22, Reward: -9884, Max Reward: 10000, Epsilon: 0.0100
Episode 1270, Steps: 22, Reward: -9950, Max Reward: 10000, Epsilon: 0.0100
Episode 1280, Steps: 225, Reward: -8805, Max Reward: 10000, Epsilon: 0.0100
Episode 1290, Steps: 120, Reward: -9156, Max Reward: 10000, Epsilon: 0.0100
Episode 1300, Steps: 157, Reward: -9098, Max Reward: 10000, Epsilon: 0.0100
Episode 1310, Steps: 17, Reward: -9963, Max Reward: 10000, Epsilon: 0.0100
Episode 1320, Steps: 27, Reward: -9948, Max Reward: 10000, Epsilon: 0.0100
Episode 1330, Steps: 336, Reward: -7968, Max Reward: 10000, Epsilon: 0.0100
Episode 1340, Steps: 20, Reward: -9934, Max Reward: 10000, Epsilon: 0.0100
Episode 1350, Steps: 17, Reward: -9973, Max Reward: 10000, Epsilon: 0.0100
Episode 1360, Steps: 52, Reward: -9800, Max Reward: 10000, Epsilon: 0.0100
Episode 1370, Steps: 63, Reward: -9724, Max Reward: 10000, Epsilon: 0.0100
Episode 1380, Steps: 60, Reward: -9511, Max Reward: 10000, Epsilon: 0.0100
Episode 1390, Steps: 77, Reward: -9432, Max Reward: 10000, Epsilon: 0.0100
Episode 1400, Steps: 79, Reward: -9536, Max Reward: 10000, Epsilon: 0.0100
Episode 1410, Steps: 68, Reward: -9428, Max Reward: 10000, Epsilon: 0.0100
Episode 1420, Steps: 55, Reward: -9746, Max Reward: 10000, Epsilon: 0.0100
Episode 1430, Steps: 237, Reward: -8607, Max Reward: 10000, Epsilon: 0.0100
Episode 1440, Steps: 110, Reward: -9085, Max Reward: 10000, Epsilon: 0.0100
Episode 1450, Steps: 16, Reward: -9946, Max Reward: 10000, Epsilon: 0.0100
Episode 1460, Steps: 108, Reward: -9549, Max Reward: 10000, Epsilon: 0.0100
Episode 1470, Steps: 130, Reward: -9091, Max Reward: 10000, Epsilon: 0.0100
Episode 1480, Steps: 116, Reward: -9309, Max Reward: 10000, Epsilon: 0.0100
Episode 1490, Steps: 80, Reward: -9438, Max Reward: 10000, Epsilon: 0.0100
Episode 1500, Steps: 112, Reward: -9151, Max Reward: 10000, Epsilon: 0.0100
Episode 1510, Steps: 44, Reward: -9768, Max Reward: 10000, Epsilon: 0.0100
Episode 1520, Steps: 60, Reward: -9812, Max Reward: 10000, Epsilon: 0.0100
Episode 1530, Steps: 100, Reward: -9716, Max Reward: 10000, Epsilon: 0.0100
Episode 1540, Steps: 45, Reward: -9644, Max Reward: 10000, Epsilon: 0.0100
Episode 1550, Steps: 127, Reward: -9416, Max Reward: 10000, Epsilon: 0.0100
Episode 1560, Steps: 247, Reward: -8594, Max Reward: 10000, Epsilon: 0.0100
Episode 1570, Steps: 87, Reward: -9440, Max Reward: 10000, Epsilon: 0.0100
Episode 1580, Steps: 114, Reward: -9162, Max Reward: 10000, Epsilon: 0.0100
Episode 1590, Steps: 181, Reward: -9044, Max Reward: 10000, Epsilon: 0.0100
Episode 1600, Steps: 160, Reward: -9104, Max Reward: 10000, Epsilon: 0.0100
Episode 1610, Steps: 124, Reward: -9278, Max Reward: 10000, Epsilon: 0.0100
Episode 1620, Steps: 12, Reward: -9966, Max Reward: 10000, Epsilon: 0.0100
Episode 1630, Steps: 103, Reward: -9250, Max Reward: 10000, Epsilon: 0.0100
Episode 0, Steps: 37, Reward: -9882, Max Reward: -9882, Epsilon: 1.0000
Episode 10, Steps: 83, Reward: -9360, Max Reward: -9312, Epsilon: 0.0404
Episode 20, Steps: 132, Reward: -9360, Max Reward: -8999, Epsilon: 0.0100
