Episode 0, Steps: 86, Reward: -4806, Max Reward: -4806, Epsilon: 1.0000, Avg Loss: 0.0000
Episode 0, Steps: 114, Reward: -4859, Max Reward: -4859, Epsilon: 1.0000, Avg Loss: 0.0000
Episode 10, Steps: 11, Reward: -4966, Max Reward: -4828, Epsilon: 0.5732, Avg Loss: 130.5946
Episode 20, Steps: 16, Reward: -4956, Max Reward: -4828, Epsilon: 0.3903, Avg Loss: 251.6808
Episode 30, Steps: 19, Reward: -4927, Max Reward: -4828, Epsilon: 0.2782, Avg Loss: 263.6704
Episode 40, Steps: 10, Reward: -4978, Max Reward: -4828, Epsilon: 0.2132, Avg Loss: 293.9113
Episode 50, Steps: 99, Reward: -4900, Max Reward: -3318, Epsilon: 0.1050, Avg Loss: 256.8638
Episode 60, Steps: 15, Reward: -4936, Max Reward: -3318, Epsilon: 0.0457, Avg Loss: 216.0393
Episode 70, Steps: 17, Reward: -4970, Max Reward: -3318, Epsilon: 0.0317, Avg Loss: 295.7558
Episode 80, Steps: 121, Reward: -4595, Max Reward: -2213, Epsilon: 0.0100, Avg Loss: 167.0707
Episode 90, Steps: 13, Reward: -4915, Max Reward: -224, Epsilon: 0.0100, Avg Loss: 78.4201
Episode 100, Steps: 211, Reward: -235, Max Reward: 85, Epsilon: 0.0100, Avg Loss: 90.1346
Episode 110, Steps: 268, Reward: 37, Max Reward: 85, Epsilon: 0.0100, Avg Loss: 80.2707
Episode 120, Steps: 160, Reward: -1685, Max Reward: 85, Epsilon: 0.0100, Avg Loss: 80.0189
Episode 130, Steps: 55, Reward: -4485, Max Reward: 1837, Epsilon: 0.0100, Avg Loss: 66.3944
Episode 140, Steps: 103, Reward: -3054, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 62.7278
Episode 150, Steps: 64, Reward: -4437, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 60.4600
Episode 160, Steps: 56, Reward: -4479, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 67.6322
Episode 170, Steps: 162, Reward: -1629, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 58.8518
Episode 180, Steps: 111, Reward: -3006, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 66.1918
Episode 190, Steps: 60, Reward: -4453, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 60.1016
Episode 200, Steps: 59, Reward: -4466, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 67.3189
Episode 210, Steps: 42, Reward: -4608, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 64.0761
Episode 220, Steps: 201, Reward: -1379, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 60.9436
Episode 230, Steps: 56, Reward: -4476, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 65.6845
Episode 240, Steps: 57, Reward: -4481, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 55.6626
Episode 250, Steps: 58, Reward: -4457, Max Reward: 3708, Epsilon: 0.0100, Avg Loss: 56.5292
Episode 260, Steps: 180, Reward: -1413, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 64.7483
Episode 270, Steps: 52, Reward: -4516, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 45.7410
Episode 280, Steps: 152, Reward: -1619, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 60.7931
Episode 290, Steps: 54, Reward: -4514, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 59.1154
Episode 300, Steps: 110, Reward: -3021, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 66.4345
Episode 310, Steps: 96, Reward: -3170, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 57.9370
Episode 320, Steps: 155, Reward: -1616, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 64.2039
Episode 330, Steps: 54, Reward: -4503, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 60.9565
Episode 340, Steps: 20, Reward: -4823, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 65.1028
Episode 350, Steps: 96, Reward: -3127, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 66.7218
Episode 360, Steps: 177, Reward: -1439, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 64.4631
Episode 370, Steps: 97, Reward: -3100, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 67.1917
Episode 380, Steps: 23, Reward: -4812, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 63.1061
Episode 390, Steps: 176, Reward: -1413, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 70.6091
Episode 400, Steps: 181, Reward: -1402, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 67.8593
Episode 410, Steps: 104, Reward: -3034, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 70.7806
