Episode,Steps,Reward,MaxReward,Epsilon,AvgLoss,AvgQValue
0,46,-5000,-5000,0.9995,0.0000,0.0000
1,194,-3416,-3416,0.9976,146.4539,-0.3164
2,79,-4963,-3416,0.9968,162.4119,-0.3164
3,139,-4807,-3416,0.9954,179.7600,0.8823
4,170,-4544,-3416,0.9937,183.5444,-0.0717
5,35,-4986,-3416,0.9934,191.6612,-0.0717
6,39,-4965,-3416,0.9930,213.8138,-0.0717
7,71,-4853,-3416,0.9923,206.2435,-0.3800
8,72,-4880,-3416,0.9915,218.9954,-0.4110
9,99,-4755,-3416,0.9906,221.6973,-0.4110
10,34,-4928,-3416,0.9902,229.2373,-0.4110
11,29,-4984,-3416,0.9899,235.1171,-0.4110
12,58,-4968,-3416,0.9893,233.8393,-0.4110
13,30,-4988,-3416,0.9890,238.0610,-0.4110
14,169,-4925,-3416,0.9873,249.2698,-1.1415
15,103,-4971,-3416,0.9863,232.1199,-1.0511
16,108,-3419,-3416,0.9852,232.2485,-0.8794
17,115,-4629,-3416,0.9841,227.2617,-0.7650
18,69,-4850,-3416,0.9834,236.8410,-0.7767
19,71,-4786,-3416,0.9827,222.3765,-0.7767
20,26,-4903,-3416,0.9824,221.1543,-0.7767
21,51,-4963,-3416,0.9819,233.7196,-0.7767
22,52,-4816,-3416,0.9814,239.6814,-1.0410
23,30,-4866,-3416,0.9811,252.6483,-1.0410
24,82,-4715,-3416,0.9802,235.3061,-1.0410
25,21,-4933,-3416,0.9800,240.5344,-0.5020
26,33,-5008,-3416,0.9797,256.1254,-0.5020
27,32,-4862,-3416,0.9794,239.8242,-0.5020
28,76,-4827,-3416,0.9786,236.6132,-0.5020
29,27,-4941,-3416,0.9783,253.8851,-0.5020
30,36,-4992,-3416,0.9780,241.8593,-0.9065
31,129,-4735,-3416,0.9767,244.5341,-0.9065
32,31,-4939,-3416,0.9763,257.0626,-0.8326
33,119,-4731,-3416,0.9752,241.2449,-0.4241
34,71,-4835,-3416,0.9744,252.2882,0.2303
35,57,-4736,-3416,0.9739,239.5884,0.7670
36,60,-4598,-3416,0.9733,236.6768,1.2276
37,76,-4851,-3416,0.9725,242.7647,1.5134
38,77,-4843,-3416,0.9717,236.4921,1.6245
39,59,-4874,-3416,0.9711,261.3715,1.6467
40,52,-4977,-3416,0.9706,243.7925,1.4963
41,113,-4929,-3416,0.9695,231.3067,1.7147
42,25,-4892,-3416,0.9692,242.4438,1.8719
43,39,-4968,-3416,0.9688,233.9180,1.8719
44,44,-4805,-3416,0.9684,232.8507,1.9022
45,57,-4843,-3416,0.9678,234.2431,2.0574
46,85,-4895,-3416,0.9670,224.8118,1.4798
47,23,-4891,-3416,0.9667,222.6707,1.5098
48,69,-4856,-3416,0.9660,236.6748,2.0007
49,85,-4822,-3416,0.9652,229.5087,2.2442
