Episode,Steps,Reward,MaxReward,Epsilon,AvgLoss,AvgQValue
1000,344,169,169,0.1736,51.0262,17.2896
1001,227,-1165,169,0.1714,111.7758,17.2896
1002,232,-2680,169,0.1691,136.0929,17.2896
1003,225,-2249,169,0.1668,173.6312,17.2896
1004,525,3642,3642,0.1616,163.4790,17.2896
1005,477,23646,23646,0.1569,146.9084,17.2896
1006,481,23644,23646,0.1521,174.5314,17.2896
1007,313,-883,23646,0.1490,182.4176,17.2896
1008,338,-106,23646,0.1457,190.3717,17.2896
1009,519,23529,23646,0.1405,175.7363,17.2896
1010,31,-8778,23646,0.1402,192.2089,17.2896
1011,197,-1742,23646,0.1382,203.0049,17.2896
1012,434,3631,23646,0.1339,188.2791,17.2896
1013,475,23639,23646,0.1292,183.0430,17.2896
1014,208,-556,23646,0.1272,188.7742,17.2896
1015,33,-8270,23646,0.1268,185.7180,17.2896
1016,485,23597,23646,0.1220,193.3243,17.2896
1017,220,-395,23646,0.1198,199.7376,17.2896
1018,467,23651,23651,0.1152,192.2118,17.2896
1019,433,2016,23651,0.1109,194.2409,17.2896
1020,465,23618,23651,0.1063,190.1248,17.2896
1021,465,23621,23651,0.1017,186.7049,17.2896
1022,476,23655,23655,0.0969,192.1600,17.2896
1023,231,-2698,23655,0.0946,189.8588,17.2896
1024,494,23559,23655,0.0897,191.4068,17.2896
1025,470,23614,23655,0.0851,188.4104,17.2896
1026,485,23665,23665,0.0803,188.9317,17.2896
1027,198,-1302,23665,0.0783,185.2475,17.2896
1028,474,23620,23665,0.0736,184.0355,17.2896
1029,493,23564,23665,0.0687,186.2461,17.2896
1030,470,23635,23665,0.0640,184.0620,17.2896
1031,477,23639,23665,0.0593,183.2177,17.2896
1032,475,23669,23669,0.0546,176.3226,17.2896
1033,498,23555,23669,0.0497,182.4066,17.2896
1034,473,23593,23669,0.0450,184.2802,17.2896
1035,463,23601,23669,0.0404,180.0899,17.2896
1036,476,23617,23669,0.0357,174.5295,17.2896
1037,418,1851,23669,0.0315,171.7772,17.2896
1038,470,23620,23669,0.0268,171.8597,17.2896
1039,465,23636,23669,0.0222,173.6840,17.2896
1040,475,23568,23669,0.0175,172.1147,17.2896
1041,464,23609,23669,0.0129,166.5328,17.2896
1042,189,-2231,23669,0.0110,170.1747,17.2896
1043,459,23584,23669,0.0100,164.1635,17.2896
1044,464,23608,23669,0.0100,161.4490,17.2896
1045,465,23604,23669,0.0100,167.0947,17.2896
1046,464,23611,23669,0.0100,161.4942,17.2896
1047,458,23591,23669,0.0100,159.8672,17.2896
1048,462,23608,23669,0.0100,156.2182,17.2896
1049,460,23576,23669,0.0100,154.9097,17.2896
1050,464,23620,23669,0.0100,155.2463,17.2896
1051,466,23618,23669,0.0100,155.0360,17.2896
1052,461,23608,23669,0.0100,158.7782,17.2896
1053,414,1812,23669,0.0100,151.9832,17.2896
1054,466,23602,23669,0.0100,150.3143,17.2896
1055,195,-1291,23669,0.0100,147.7810,17.2896
1056,463,23612,23669,0.0100,148.4838,17.2896
1057,292,923,23669,0.0100,149.9617,17.2896
1058,190,-1463,23669,0.0100,147.1235,17.2896
1059,461,23613,23669,0.0100,142.2047,17.2896
1060,469,23609,23669,0.0100,142.1131,17.2896
1061,322,-236,23669,0.0100,142.3493,17.2896
1062,464,23607,23669,0.0100,138.4558,17.2896
1063,411,1760,23669,0.0100,140.8131,17.2896
1064,467,23604,23669,0.0100,140.0417,17.2896
1065,461,23626,23669,0.0100,134.8802,17.2896
1066,468,23603,23669,0.0100,130.5053,17.2896
1067,463,23624,23669,0.0100,132.9455,17.2896
1068,469,23604,23669,0.0100,132.8903,17.2896
1069,468,23611,23669,0.0100,129.0815,17.2896
1070,412,1842,23669,0.0100,130.7589,17.2896
1071,456,23600,23669,0.0100,125.8975,17.2896
1072,429,1811,23669,0.0100,125.6577,17.2896
1073,40,-8630,23669,0.0100,136.6118,17.2896
1074,466,23617,23669,0.0100,122.8827,17.2896
1075,468,23604,23669,0.0100,121.5572,17.2896
1076,460,23598,23669,0.0100,121.2565,17.2896
1077,461,23622,23669,0.0100,120.5089,17.2896
1078,416,1787,23669,0.0100,116.8463,17.2896
1079,174,-4542,23669,0.0100,120.7407,17.2896
1080,466,23607,23669,0.0100,118.5037,17.2896
1081,464,23600,23669,0.0100,113.2153,17.2896
1082,463,23614,23669,0.0100,114.7159,17.2896
1083,464,23621,23669,0.0100,113.0025,17.2896
1084,463,23617,23669,0.0100,112.9179,17.2896
1085,197,-2845,23669,0.0100,111.1471,17.2896
1086,462,23598,23669,0.0100,110.4058,17.2896
1087,191,-2003,23669,0.0100,106.9671,17.2896
1088,463,23628,23669,0.0100,107.4284,17.2896
1089,483,23613,23669,0.0100,105.9187,17.2896
1090,458,23615,23669,0.0100,106.3316,17.2896
1091,466,23606,23669,0.0100,101.9204,17.2896
1092,411,1754,23669,0.0100,105.8448,17.2896
1093,418,1845,23669,0.0100,101.4967,17.2896
1094,463,23592,23669,0.0100,102.8307,17.2896
1095,459,23647,23669,0.0100,96.2767,17.2896
1096,324,-518,23669,0.0100,102.0995,17.2896
1097,422,1901,23669,0.0100,99.5640,17.2896
1098,474,23570,23669,0.0100,96.1351,17.2896
1099,463,23629,23669,0.0100,94.6704,17.2896
1100,466,23651,23669,0.0100,93.7592,17.2896
1101,467,23607,23669,0.0100,94.5843,17.2896
1102,418,1851,23669,0.0100,90.4666,17.2896
1103,461,23628,23669,0.0100,90.1117,17.2896
1104,477,23611,23669,0.0100,90.9625,17.2896
1105,460,23652,23669,0.0100,90.5208,17.2896
1106,463,23602,23669,0.0100,89.9353,17.2896
1107,463,23653,23669,0.0100,87.1044,17.2896
1108,469,23617,23669,0.0100,86.3758,17.2896
1109,472,23608,23669,0.0100,85.2022,17.2896
1110,457,23596,23669,0.0100,84.9322,17.2896
1111,463,23636,23669,0.0100,84.0647,17.2896
1112,464,23626,23669,0.0100,81.3905,17.2896
1113,293,950,23669,0.0100,84.0666,17.2896
1114,459,23607,23669,0.0100,84.1030,17.2896
1115,464,23613,23669,0.0100,81.8360,17.2896
1116,471,23583,23669,0.0100,80.7423,17.2896
1117,464,23645,23669,0.0100,79.1001,17.2896
1118,463,23611,23669,0.0100,76.9413,17.2896
1119,461,23615,23669,0.0100,78.1965,17.2896
